subset_name,strategy,n_layers,layer_indices,layer_ids,ref_set,metric,k,auroc
single_l22,single,1,[8],[22],train,cosine,15,0.7896611047273786
single_l22,single,1,[8],[22],train,cosine,31,0.7908307303889042
single_l22,single,1,[8],[22],train,cosine,63,0.7914522002298143
single_l22,single,1,[8],[22],train,cosine,127,0.7918153716680962
single_l22,single,1,[8],[22],val,euclidean,1,0.7753452879962452
single_l22,single,1,[8],[22],val,euclidean,3,0.7864888572399618
single_l22,single,1,[8],[22],val,euclidean,5,0.788901908106621
single_l22,single,1,[8],[22],val,euclidean,9,0.7903102493971419
single_l22,single,1,[8],[22],val,euclidean,15,0.790942077068734
single_l22,single,1,[8],[22],val,euclidean,31,0.7914282477463626
single_l22,single,1,[8],[22],val,euclidean,63,0.7917959507355679
single_l22,single,1,[8],[22],val,euclidean,127,0.7920018126203693
single_l22,single,1,[8],[22],val,cosine,1,0.7749712732039684
single_l22,single,1,[8],[22],val,cosine,3,0.7870433248636489
single_l22,single,1,[8],[22],val,cosine,5,0.7891401382123031
single_l22,single,1,[8],[22],val,cosine,9,0.7903552412241661
single_l22,single,1,[8],[22],val,cosine,15,0.7909113272588972
single_l22,single,1,[8],[22],val,cosine,31,0.7914156241402192
single_l22,single,1,[8],[22],val,cosine,63,0.7917881823625564
single_l22,single,1,[8],[22],val,cosine,127,0.7920027836669957
single_l22,single,1,[8],[22],train_val,euclidean,1,0.7539655925812038
single_l22,single,1,[8],[22],train_val,euclidean,3,0.7761022188415414
single_l22,single,1,[8],[22],train_val,euclidean,5,0.7827448251306867
